symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
TORNTPOWER,2021-01-05,2021-01-11,280.0653991699219,294.0249938964844,0.04984405345300402,6,Utilities,LONG,
LT,2021-01-05,2021-01-11,1247.4796142578125,1303.2777099609375,0.04472866335080128,6,Industrials,LONG,
GOLDBEES,2021-01-05,2021-01-11,44.52000045776367,43.83000183105469,-0.015498621285136571,6,Other,LONG,
COALINDIA,2021-01-05,2021-01-11,87.54906463623047,89.11186981201172,0.017850621046321402,6,Energy,LONG,
LIQUIDBEES,2021-01-05,2021-01-11,827.1136474609375,827.1216430664062,9.666876484626385e-06,6,Other,LONG,
LTIM,2021-01-11,2021-01-18,3856.3095703125,4040.68115234375,0.04781036861008792,7,IT,LONG,
VBL,2021-01-11,2021-01-18,86.91470336914062,78.62351989746094,-0.0953944862063868,7,FMCG,LONG,
DIVISLAB,2021-01-11,2021-01-18,3743.5185546875,3535.59130859375,-0.0555432657955951,7,Pharma,LONG,
JUNIORBEES,2021-01-11,2021-01-18,357.260009765625,353.760009765625,-0.00979678638618442,7,Other,LONG,
JSWSTEEL,2021-01-11,2021-01-18,381.3460998535156,373.1578674316406,-0.021471918619386132,7,Metals,LONG,
ITBEES,2021-01-11,2021-01-18,26.43000030517578,26.799999237060547,0.013999202709517489,7,Other,LONG,
TATACONSUM,2021-01-11,2021-01-18,586.4133911132812,579.534912109375,-0.011729744081811933,7,FMCG,LONG,
INDIGO,2021-01-05,2021-01-18,1742.006103515625,1628.29833984375,-0.06527403287646116,13,Aviation,LONG,
DMART,2021-01-05,2021-01-18,2898.449951171875,2820.949951171875,-0.026738429610856596,13,Retail,LONG,
ASIANPAINT,2021-01-11,2021-01-18,2722.864990234375,2479.934814453125,-0.08921859021748246,7,Consumer Disc.,LONG,
NV20BEES,2021-01-11,2021-01-18,76.94999694824219,78.33999633789062,0.01806367049739288,7,Other,LONG,
BEL,2021-01-11,2021-01-18,40.537559509277344,40.95183181762695,0.010219468398308562,7,Defence,LONG,
MOTHERSON,2021-01-11,2021-01-18,44.37014389038086,42.91754913330078,-0.032738112381803464,7,Auto,LONG,
ASTRAL,2021-01-11,2021-01-18,982.3533325195312,944.3732299804688,-0.03866236442813453,7,Capital Goods,LONG,
TORNTPOWER,2021-01-18,2021-01-25,290.6116638183594,279.36529541015625,-0.038698957434937786,7,Utilities,LONG,
LT,2021-01-18,2021-01-25,1285.010498046875,1292.554443359375,0.005870726600262222,7,Industrials,LONG,
LIQUIDBEES,2021-01-18,2021-01-25,827.1216430664062,827.1216430664062,0.0,7,Other,LONG,
GOLDBEES,2021-01-18,2021-01-25,43.029998779296875,43.040000915527344,0.00023244565452507082,7,Other,LONG,
SHRIRAMFIN,2021-01-11,2021-02-01,236.59085083007812,235.79652404785156,-0.003357385881320729,21,Financials,LONG,
GRASIM,2021-01-25,2021-02-01,975.1567993164062,1025.322998046875,0.051444238265718534,7,Cement,LONG,
CHOLAFIN,2021-01-05,2021-02-01,437.440185546875,392.6352233886719,-0.10242534554110361,27,Financials,LONG,
LTIM,2021-01-25,2021-02-01,3702.94091796875,3735.405029296875,0.008767115664900516,7,IT,LONG,
BAJFINANCE,2021-01-25,2021-02-01,487.0927734375,463.7791748046875,-0.047862747928457905,7,Financials,LONG,
DIXON,2021-01-05,2021-02-01,2748.60986328125,2819.355712890625,0.02573877455453788,27,Capital Goods,LONG,
JUNIORBEES,2021-01-25,2021-02-01,349.3999938964844,332.7900085449219,-0.047538596570449565,7,Other,LONG,
DEEPAKNTR,2021-01-11,2021-02-01,1036.7451171875,955.0558471679688,-0.07879397613286021,21,Chemicals,LONG,
JSWSTEEL,2021-01-25,2021-02-01,355.3613586425781,347.26776123046875,-0.02277568231679883,7,Metals,LONG,
PERSISTENT,2021-01-11,2021-02-01,751.3345947265625,729.0225830078125,-0.029696505225970782,21,IT,LONG,
WIPRO,2021-01-25,2021-02-01,205.45208740234375,193.04873657226562,-0.06037101392787614,7,IT,LONG,
SBIN,2021-01-25,2021-02-01,261.7746887207031,260.2983703613281,-0.005639652812079676,7,Financials,LONG,
TATACONSUM,2021-01-25,2021-02-01,562.5548095703125,538.5518798828125,-0.04266771749020115,7,FMCG,LONG,
DMART,2021-01-25,2021-02-01,2862.75,2651.5,-0.07379268186184618,7,Retail,LONG,
TATASTEEL,2021-01-05,2021-02-01,59.6588134765625,51.738731384277344,-0.1327562790935598,27,Metals,LONG,
TATAELXSI,2021-01-05,2021-02-01,1795.3902587890625,2568.00634765625,0.43033322982842415,27,IT,LONG,
MOTHERSON,2021-01-25,2021-02-01,41.26687240600586,38.282447814941406,-0.07232010610598416,7,Auto,LONG,
ADANIENT,2021-01-05,2021-02-01,493.3017578125,505.42230224609375,0.024570243753724297,27,Industrials,LONG,
TORNTPOWER,2021-02-01,2021-02-08,270.26312255859375,278.75262451171875,0.0314119879647452,7,Utilities,LONG,
LT,2021-02-01,2021-02-08,1266.5533447265625,1439.0711669921875,0.13621046676314297,7,Industrials,LONG,
CONCOR,2021-02-01,2021-02-08,406.3233947753906,437.5826110839844,0.07693186439799593,7,Railways,LONG,
ETERNAL,2021-02-01,2021-02-08,0.0,0.0,0.0,7,Internet,LONG,
SUNPHARMA,2021-02-01,2021-02-08,553.1102294921875,598.9197387695312,0.08282166344925779,7,Pharma,LONG,
JSWENERGY,2021-02-01,2021-02-08,70.07475280761719,68.66840362548828,-0.02006927068283626,7,Utilities,LONG,
RVNL,2021-02-01,2021-02-08,27.1639347076416,26.816791534423828,-0.012779561464639988,7,Railways,LONG,
TATACOMM,2021-02-01,2021-02-08,937.9367065429688,966.6993408203125,0.030665858449400618,7,Telecom,LONG,
