week,week_ret,dd_delta,worst_day,avg_pos,paa_share,stop_count
2024-07-02/2024-07-08,0.09960105004573361,-0.0009445696583096908,-0.0009445696583096908,22.0,0.0,0.0
2023-09-05/2023-09-11,0.0799736192486431,0.0,-0.010341628222304,22.0,0.0,0.0
2024-05-14/2024-05-20,0.07494782050037263,-0.014375706791607379,0.01054163065797753,22.0,0.0,0.0
2021-12-21/2021-12-27,0.0721980473276902,-0.043754284171689806,-0.00040602822437196817,22.0,0.0,0.0
2024-02-13/2024-02-19,0.07169133821838303,-0.04909014359450781,0.0007896513953731255,17.2,0.0,6.0
2024-05-21/2024-05-27,0.06874314346819155,0.0,-0.0032267833820568415,22.0,0.0,0.0
2024-04-23/2024-04-29,0.06530468292788538,-0.024454792242875945,0.007200243693904929,22.0,0.0,0.0
2024-01-16/2024-01-22,0.06393065530298059,0.0,-0.0026383990847677063,22.0,0.0,0.0
2022-10-04/2022-10-10,0.0634245835392635,-0.026136304976139835,-0.0025145770870889095,21.25,0.0,1.0
2023-11-28/2023-12-04,0.05960923616686076,-0.011243243276834902,0.0021979299836505373,21.2,0.0,0.0
2022-11-22/2022-11-28,0.0595182225834372,-0.007655020949901781,0.003991761495827806,22.0,0.0,0.0
2021-04-27/2021-05-03,0.05889376004632063,0.0,-0.00667933817149402,22.0,0.0,0.0
2022-11-01/2022-11-07,0.058219706925535464,0.0,0.006285319473145812,22.0,0.0,0.0
2024-06-11/2024-06-17,0.055306296984864556,-0.03696670630197796,0.006747717600076308,22.0,0.0,0.0
2025-04-08/2025-04-14,0.05512663678564733,-0.03962462027056102,-0.0020317150502332515,1.0,1.0,0.0
2023-10-31/2023-11-06,0.05383719968505063,-0.04730282792581131,0.001479358577480605,22.0,0.0,0.0
2023-08-29/2023-09-04,0.05309292627207207,0.0,-0.002973955878753154,21.2,0.0,1.0
2023-11-07/2023-11-13,0.05250592019653211,0.0,0.0002896379777597158,20.0,0.0,0.0
2021-08-24/2021-08-30,0.05207330952975542,-0.011003446591191346,-0.0009628132538384016,12.0,0.0,0.0
2024-01-23/2024-01-29,0.051926567262430945,-0.017838654427683842,-0.017838654427683842,22.0,0.0,0.0
2021-10-12/2021-10-18,0.051389377128497005,0.0,0.004060728084179344,12.0,0.0,0.0
2022-04-05/2022-04-11,0.05040144554924253,-0.030952226553590312,-0.005549907017969202,22.0,0.0,0.0
2023-07-18/2023-07-24,0.04751482480698899,0.0,0.0018248714591662107,22.0,0.0,0.0
2021-12-07/2021-12-13,0.04677528359022065,-0.028805074329734115,0.004619863764496301,21.2,0.0,1.0
2022-12-27/2023-01-02,0.046350883547001454,-0.02964031595387462,0.0061861915810577095,22.0,0.0,0.0
2023-05-02/2023-05-08,0.04591288065741139,0.0,-0.0008454671942660363,22.0,0.0,0.0
2024-01-09/2024-01-15,0.04490005502269456,0.0,0.007219576806148931,21.6,0.0,1.0
2023-05-30/2023-06-05,0.04319115959474762,0.0,-0.005701476080203549,22.0,0.0,0.0
2023-10-10/2023-10-16,0.04260781080739928,-0.0063544449572969786,0.0011628356893631508,22.0,0.0,0.0
2024-01-30/2024-02-05,0.04186103555309928,-0.006496086816450641,-0.010867287098116574,22.0,0.0,0.0
2025-02-04/2025-02-10,0.041355503714235464,-0.03202132017334758,-0.0019561183491043632,1.0,1.0,0.0
2024-05-28/2024-06-03,0.04082821814001192,-0.018697074954156956,-0.018697074954156956,21.6,0.0,1.0
2025-04-15/2025-04-21,0.040693172103369424,-0.0030808454309181332,-0.0030808454309181332,1.0,1.0,0.0
2021-02-23/2021-03-01,0.040631207912933176,-0.01892425575476242,-0.02837607535609976,22.0,0.0,0.0
