week,week_ret,dd_delta,worst_day,avg_pos,paa_share,stop_count
2021-10-19/2021-10-25,-0.11799155739986533,0.10730960781036425,-0.05424020173175126,11.4,0.0,1.0
2022-01-18/2022-01-24,-0.07810004020079753,0.053643345366770956,-0.04351515005641948,22.0,0.0,0.0
2022-02-08/2022-02-14,-0.0604174720291063,0.04359629979587709,-0.04173498157927513,22.0,0.0,0.0
2024-02-06/2024-02-12,-0.060092930458591765,0.08106525049393698,-0.05654185193840966,21.2,0.0,4.0
2021-12-14/2021-12-20,-0.059697427352371935,0.05253942607849582,-0.036037325644611484,22.0,0.0,0.0
2024-07-30/2024-08-05,-0.0576801434925055,0.06261234201494059,-0.04981486001909785,22.0,0.0,0.0
2024-03-12/2024-03-18,-0.05273230309629484,0.03300351320234629,-0.06078946066090385,20.2,0.0,3.0
2024-06-04/2024-06-10,-0.050019839301917335,-0.07768095352114912,-0.12770079282306634,18.8,0.0,4.0
2022-09-20/2022-09-26,-0.048021801403265396,0.05915474130845355,-0.0413283870151111,21.2,0.0,1.0
2021-11-16/2021-11-22,-0.043771371294826666,0.04005239207704059,-0.025575802818250226,22.0,0.0,0.0
2022-12-20/2022-12-26,-0.04321895448025115,0.05350684804868955,-0.043366018680845664,19.0,0.0,7.0
2023-01-24/2023-01-30,-0.04243010706907224,0.03580084290647978,-0.028903825829085017,21.5,0.0,1.0
2024-10-01/2024-10-07,-0.041551161588915475,0.041095045901711424,-0.022805282117172587,22.0,0.0,0.0
2024-04-09/2024-04-15,-0.03545202136260828,0.031670458937981816,-0.026669034150077042,22.0,0.0,0.0
2023-10-17/2023-10-23,-0.031634513099198625,0.04316828674091144,-0.03917066311029127,21.4,0.0,1.0
2021-03-23/2021-03-29,-0.030636355788179248,0.033709642522077976,-0.030608203848166426,22.0,0.0,0.0
2025-04-22/2025-04-28,-0.02491669730690027,0.046441476516972724,-0.03027746791351904,1.0,1.0,0.0
2021-11-23/2021-11-29,-0.024225850234332325,0.034641649270022556,-0.03634253164566459,21.6,0.0,2.0
2025-05-06/2025-05-12,-0.02010553452257835,0.050060239084421365,-0.03490098500389682,1.0,1.0,0.0
2021-04-06/2021-04-12,-0.01546091511210701,0.04265065682695146,-0.060349359109084344,21.8,0.0,1.0
2021-08-17/2021-08-23,-0.015207541496117805,0.033185882433137914,-0.023635187132173496,12.0,0.0,0.0
2021-01-19/2021-01-25,-0.01035334648134989,0.055255266729654196,-0.028643077541805506,14.0,0.0,0.0
2025-04-01/2025-04-07,-0.0044498626585600665,0.03766943878604323,-0.015468676700353345,1.0,1.0,0.0
