date,from,to,probs
2021-01-01,,0,"[1.0, 0.0, 1.958697531839972e-68, 9.264823971193573e-65]"
2021-01-11,0.0,2,"[0.2689414213699951, 8.346454770282093e-15, 0.7310585786300049, 1.0204307763781877e-15]"
2021-01-25,2.0,0,"[0.7310575415925186, 3.579465352979559e-28, 0.2689414213686651, 1.0370388127202806e-06]"
2021-02-15,0.0,2,"[0.2689414213699951, 2.053276818246735e-37, 0.7310585068106207, 7.181937257425193e-08]"
2021-02-22,2.0,0,"[0.7310549403749798, 8.057424577658066e-23, 0.26894139494912017, 3.6646758891629055e-06]"
2021-04-12,0.0,3,"[0.2688056158610669, 1.2164322121133928e-14, 0.0020774850177338556, 0.7291168991211959]"
2021-04-19,3.0,0,"[0.7297738564823442, 3.721208028778184e-13, 0.0007642640273659747, 0.2694618794899281]"
2021-04-26,0.0,1,"[0.2684687985042531, 0.7310572039039029, 0.0, 0.00047399759184469547]"
2021-05-03,1.0,2,"[1.0480865782103995e-20, 0.2689409156364752, 0.7310585786230859, 5.057404353623395e-07]"
2021-05-24,2.0,0,"[0.7300176765591027, 0.0010312259668612863, 0.2688066005550341, 0.00014449691898111932]"
2021-05-31,0.0,2,"[0.2685584948978374, 0.00037936763498638566, 0.6499530104837422, 0.08110912698343216]"
2021-06-07,2.0,3,"[0.04822347386216509, 3.787700738682823e-05, 0.23910435028445565, 0.712634298845997]"
2021-07-05,3.0,1,"[0.0003499614528267853, 0.8864492689466461, 3.0227028405840745e-06, 0.11319774689768201]"
2021-09-06,1.0,3,"[2.838839180555909e-07, 0.386412689944747, 0.003488443953106303, 0.6100985822182363]"
2021-09-13,3.0,1,"[8.506912540899843e-12, 0.5801554804236932, 0.0003937961232164847, 0.4194507234445774]"
2021-09-20,1.0,2,"[0.0004368772379024493, 0.2500629383511112, 0.6773520586442859, 0.07214812576669005]"
2021-09-27,2.0,3,"[0.0023071709941406035, 0.019482220418751733, 0.24917378307873825, 0.7290368255083627]"
2021-10-18,3.0,2,"[0.0001808054228280415, 0.00023357349898257476, 0.72991543449109, 0.2696701865871008]"
2021-11-01,2.0,3,"[0.007991584391561182, 1.6060736464008483e-05, 0.26759616699781424, 0.7243961878741674]"
2021-11-08,3.0,2,"[0.0024469157610428486, 0.000644893312647446, 0.7290983409358079, 0.2678098499904976]"
2021-11-29,2.0,1,"[9.835934485023525e-08, 0.7220474734928257, 0.27756834909414624, 0.0003840790536751476]"
2021-12-06,1.0,2,"[2.6082889880454286e-09, 0.30761819367927035, 0.6923818037124456, 7.759715335225395e-108]"
2021-12-13,2.0,1,"[3.7333106165602015e-05, 0.6422960272858282, 0.35766663960800443, 2.0361668981713518e-64]"
2021-12-20,1.0,2,"[0.0030716277668256732, 0.2306679968248327, 0.7662603754083347, 7.340672840493823e-60]"
2021-12-27,2.0,3,"[0.0011933965565716963, 0.00013157895255244993, 0.2718007970969145, 0.7268742273939599]"
2022-01-03,3.0,1,"[2.5185102697524787e-05, 0.6908657534390201, 0.0015141516917208967, 0.30759490976654824]"
2022-01-10,1.0,3,"[0.0232005356110594, 0.25415558505762426, 1.3600569438541101e-14, 0.722643879331288]"
2022-01-24,3.0,2,"[0.07666069646719717, 3.101020915009749e-06, 0.6563263726418845, 0.2670098298700042]"
2022-01-31,2.0,1,"[0.02749235466138409, 0.7291071916877491, 0.2414489791935763, 0.001951474457300989]"
2022-02-07,1.0,3,"[5.0590602437803815e-12, 0.2682235140324186, 0.002404942041493779, 0.7293715439210229]"
2022-04-04,3.0,2,"[9.92054833156457e-19, 1.905486679871168e-11, 0.7219309006804342, 0.278069099300514]"
2022-04-11,2.0,3,"[3.65017823626305e-19, 3.156713171034515e-08, 0.3755677297616198, 0.62443223867125]"
2022-07-25,3.0,2,"[1.736945600806511e-07, 0.24314174834233743, 0.5553201258725152, 0.20153795209057826]"
2022-08-01,2.0,1,"[5.51648064452214e-06, 0.6956504340410605, 0.1794945502664302, 0.12484949921188022]"
2022-08-08,1.0,3,"[2.0237336956686467e-06, 0.2230098358213142, 0.03255205561056661, 0.7444360848344201]"
2022-08-29,3.0,2,"[2.943906800537796e-08, 1.6513781553348687e-09, 0.6795098552505237, 0.3204901136590326]"
2022-09-05,2.0,3,"[1.0830524686823837e-08, 3.3601309121281913e-13, 0.2460077523950047, 0.7539922367741507]"
2022-10-17,3.0,2,"[1.0300235223253194e-09, 0.026901429151477505, 0.7052566892232475, 0.2678418805952636]"
2022-11-14,2.0,1,"[0.0012715628470296178, 0.7294796884315912, 0.26141483269081944, 0.00783391603056507]"
2022-11-21,1.0,2,"[0.00046778176075326297, 0.31087126296911466, 0.6870431407696863, 0.001617814500450468]"
2022-11-28,2.0,0,"[0.5036328354550905, 0.24121254406233286, 0.25274904668702475, 0.0024055737955563004]"
2022-12-26,0.0,2,"[0.27482568907067895, 0.021119036210584766, 0.7029301259508692, 0.0011251487678856328]"
2023-01-16,2.0,1,"[0.0040681339671949915, 0.7295488884914174, 0.2651231102666586, 0.0012598672747359298]"
2023-01-23,1.0,2,"[0.01983175222704492, 0.2672799660811472, 0.7127159706248971, 0.00017231106691924835]"
2023-01-30,2.0,3,"[0.007081926953130714, 0.0, 0.2645282103606607, 0.7283898626862302]"
2023-02-06,3.0,2,"[0.02832754375935033, 0.0, 0.7004959965843323, 0.27117645965633275]"
2023-02-13,2.0,1,"[0.010377214480432207, 0.6771420347963717, 0.3107227956264097, 0.0017579550968075564]"
2023-03-06,1.0,0,"[0.730373474020442, 0.21058389426641597, 0.05902462125968912, 1.801045345565553e-05]"
2023-03-20,0.0,1,"[0.2623005892332789, 0.6749936606088394, 0.06264483558615601, 6.091457171008024e-05]"
2023-03-27,1.0,2,"[0.019925038041117223, 0.2483171886445026, 0.7317512896394442, 6.483674915109154e-06]"
2023-04-03,2.0,3,"[0.01158146444151582, 8.290251108805969e-07, 0.26161107749652507, 0.7268066290368321]"
2023-04-10,3.0,1,"[0.0015640220144390359, 0.7308968211117067, 0.00015504784477929817, 0.2673841090290919]"
2023-04-24,1.0,2,"[0.000509711496239402, 0.2689399799694703, 0.7305502919152173, 1.6619084048344834e-08]"
2023-05-08,2.0,1,"[0.00018770011622349305, 0.7309111355008471, 0.2689011599177385, 4.4651815265639456e-09]"
2023-05-15,1.0,3,"[0.0004615622500933402, 0.2688837435488792, 5.858191706897496e-05, 0.7305961122839544]"
2023-05-29,3.0,1,"[3.0865834097887815e-05, 0.73097840162841, 7.917240854539044e-05, 0.2689115601289363]"
2023-06-12,1.0,3,"[2.0309402126376084e-05, 0.2689363149397331, 5.217499061023222e-06, 0.7310381581590821]"
2023-06-19,3.0,0,"[0.7310238314400794, 3.1728956993978236e-05, 4.1880489943590305e-08, 0.26894439772242923]"
2023-06-26,0.0,3,"[0.2689538388534686, 1.167243096789744e-05, 2.0605472620068075e-07, 0.7310342826608531]"
2023-07-03,3.0,1,"[1.0283954556591542e-05, 0.7310493812101142, 9.266935665684427e-06, 0.2689310678996906]"
2023-07-31,1.0,2,"[9.359522861143678e-13, 0.268932358214829, 0.7309493419942231, 0.00011829979000818292]"
2023-08-07,2.0,1,"[0.0016640404966646424, 0.7293925809284267, 0.2688998574395308, 4.352113536961898e-05]"
