timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-03-01 00:00:00+00:00,1.9447,1.9752,1.9432,1.9749,1951972.5,3824972.33733,ARB/USD,ARBUSDT,1h,binance
2024-03-01 01:00:00+00:00,1.9749,1.9971,1.9637,1.9914,2838166.7,5630322.33254,ARB/USD,ARBUSDT,1h,binance
2024-03-01 02:00:00+00:00,1.9911,1.9979,1.9692,1.9857,2116814.9,4198707.89133,ARB/USD,ARBUSDT,1h,binance
2024-03-01 03:00:00+00:00,1.9853,1.9947,1.972,1.9768,1738450.3,3443495.78435,ARB/USD,ARBUSDT,1h,binance
2024-03-01 04:00:00+00:00,1.9768,1.9815,1.97,1.975,1735068.2,3428777.7133,ARB/USD,ARBUSDT,1h,binance
2024-03-01 05:00:00+00:00,1.9752,1.9806,1.971,1.974,1171775.7,2314868.55273,ARB/USD,ARBUSDT,1h,binance
2024-03-01 06:00:00+00:00,1.9741,1.9886,1.9701,1.9838,2061408.5,4079032.45436,ARB/USD,ARBUSDT,1h,binance
2024-03-01 07:00:00+00:00,1.9837,1.9912,1.9637,1.9709,2192696.1,4333572.45256,ARB/USD,ARBUSDT,1h,binance
2024-03-01 08:00:00+00:00,1.971,2.0049,1.9616,1.9994,3589116.5,7134178.35105,ARB/USD,ARBUSDT,1h,binance
2024-03-01 09:00:00+00:00,1.9994,2.0126,1.999,2.0038,2491578.2,4996128.276,ARB/USD,ARBUSDT,1h,binance
2024-03-01 10:00:00+00:00,2.0037,2.0037,1.9851,1.9858,1786972.8,3561031.8812,ARB/USD,ARBUSDT,1h,binance
2024-03-01 11:00:00+00:00,1.9859,1.9876,1.9692,1.9793,2596451.1,5136721.40484,ARB/USD,ARBUSDT,1h,binance
2024-03-01 12:00:00+00:00,1.9793,1.9902,1.9736,1.9825,1793560.7,3554954.95509,ARB/USD,ARBUSDT,1h,binance
2024-03-01 13:00:00+00:00,1.9825,1.9962,1.9794,1.989,2192267.9,4361659.85298,ARB/USD,ARBUSDT,1h,binance
2024-03-01 14:00:00+00:00,1.9891,1.9992,1.96,1.9738,5237498.7,10361901.41427,ARB/USD,ARBUSDT,1h,binance
2024-03-01 15:00:00+00:00,1.9739,1.9766,1.9396,1.9492,4085400.7,7998395.14489,ARB/USD,ARBUSDT,1h,binance
2024-03-01 16:00:00+00:00,1.9493,1.9603,1.9415,1.942,3330243.0,6491997.15358,ARB/USD,ARBUSDT,1h,binance
2024-03-01 17:00:00+00:00,1.9419,1.9798,1.9419,1.979,2907169.8,5723041.3874,ARB/USD,ARBUSDT,1h,binance
2024-03-01 18:00:00+00:00,1.9791,1.9794,1.966,1.9781,1786125.8,3524559.95041,ARB/USD,ARBUSDT,1h,binance
2024-03-01 19:00:00+00:00,1.9781,1.981,1.9663,1.9762,1692266.7,3341940.36041,ARB/USD,ARBUSDT,1h,binance
2024-03-01 20:00:00+00:00,1.9764,1.9864,1.9691,1.9852,1728747.0,3415183.06883,ARB/USD,ARBUSDT,1h,binance
2024-03-01 21:00:00+00:00,1.985,1.9871,1.974,1.9856,1974875.9,3911489.56711,ARB/USD,ARBUSDT,1h,binance
2024-03-01 22:00:00+00:00,1.9858,1.9951,1.984,1.9916,2008681.6,3998306.77854,ARB/USD,ARBUSDT,1h,binance
2024-03-01 23:00:00+00:00,1.9916,1.9947,1.9812,1.988,1709338.1,3399154.74458,ARB/USD,ARBUSDT,1h,binance
2024-03-02 00:00:00+00:00,1.9881,1.9973,1.9834,1.9963,2501098.2,4978076.94588,ARB/USD,ARBUSDT,1h,binance
2024-03-02 01:00:00+00:00,1.9962,1.9963,1.95,1.9768,4517895.6,8899739.81421,ARB/USD,ARBUSDT,1h,binance
2024-03-02 02:00:00+00:00,1.9766,1.982,1.967,1.9702,2090622.2,4128750.68009,ARB/USD,ARBUSDT,1h,binance
2024-03-02 03:00:00+00:00,1.9703,1.9931,1.9621,1.9931,2466053.9,4874815.60501,ARB/USD,ARBUSDT,1h,binance
2024-03-02 04:00:00+00:00,1.9932,1.9994,1.981,1.981,2766869.7,5508613.6183,ARB/USD,ARBUSDT,1h,binance
2024-03-02 05:00:00+00:00,1.981,1.9837,1.9612,1.9748,2321532.2,4577586.16783,ARB/USD,ARBUSDT,1h,binance
2024-03-02 06:00:00+00:00,1.9748,1.9986,1.9726,1.9908,2616150.5,5203813.37194,ARB/USD,ARBUSDT,1h,binance
2024-03-02 07:00:00+00:00,1.9908,1.9928,1.9733,1.9881,2529269.6,5016967.30419,ARB/USD,ARBUSDT,1h,binance
2024-03-02 08:00:00+00:00,1.9881,1.989,1.9539,1.9752,4136030.5,8163412.95854,ARB/USD,ARBUSDT,1h,binance
2024-03-02 09:00:00+00:00,1.9752,1.9804,1.9541,1.9624,2982954.0,5861776.07736,ARB/USD,ARBUSDT,1h,binance
2024-03-02 10:00:00+00:00,1.9625,1.9727,1.9591,1.961,2122607.3,4174997.91645,ARB/USD,ARBUSDT,1h,binance
2024-03-02 11:00:00+00:00,1.9609,1.9707,1.9595,1.96,2179622.8,4285103.88544,ARB/USD,ARBUSDT,1h,binance
2024-03-02 12:00:00+00:00,1.96,1.9929,1.9566,1.9858,5602296.2,11091164.38762,ARB/USD,ARBUSDT,1h,binance
2024-03-02 13:00:00+00:00,1.9858,1.9889,1.9728,1.9776,2957494.8,5856823.11044,ARB/USD,ARBUSDT,1h,binance
2024-03-02 14:00:00+00:00,1.9777,1.9801,1.9587,1.9724,3769393.8,7415566.02497,ARB/USD,ARBUSDT,1h,binance
2024-03-02 15:00:00+00:00,1.9725,1.9804,1.9643,1.9693,2816093.0,5555007.10107,ARB/USD,ARBUSDT,1h,binance
2024-03-02 16:00:00+00:00,1.9694,1.9944,1.968,1.9853,3496875.4,6925448.53587,ARB/USD,ARBUSDT,1h,binance
2024-03-02 17:00:00+00:00,1.9854,1.9945,1.9736,1.985,2200843.6,4369590.66774,ARB/USD,ARBUSDT,1h,binance
2024-03-02 18:00:00+00:00,1.985,1.998,1.9838,1.9962,1923569.8,3831994.28781,ARB/USD,ARBUSDT,1h,binance
2024-03-02 19:00:00+00:00,1.9964,2.0082,1.9906,2.0079,3400569.0,6807349.90889,ARB/USD,ARBUSDT,1h,binance
2024-03-02 20:00:00+00:00,2.0079,2.0133,1.9855,1.9972,2263844.0,4523430.60244,ARB/USD,ARBUSDT,1h,binance
2024-03-02 21:00:00+00:00,1.9972,2.006,1.9951,2.0033,1809944.1,3621099.42126,ARB/USD,ARBUSDT,1h,binance
2024-03-02 22:00:00+00:00,2.0034,2.0182,1.9965,2.006,2928987.1,5887282.31047,ARB/USD,ARBUSDT,1h,binance
2024-03-02 23:00:00+00:00,2.0061,2.0251,2.0061,2.0248,1982911.0,3997357.66923,ARB/USD,ARBUSDT,1h,binance
2024-03-03 00:00:00+00:00,2.0249,2.0946,2.0107,2.0946,10458858.2,21514133.73298,ARB/USD,ARBUSDT,1h,binance
2024-03-03 01:00:00+00:00,2.0947,2.0993,2.069,2.0986,7056991.8,14705705.59725,ARB/USD,ARBUSDT,1h,binance
2024-03-03 02:00:00+00:00,2.0988,2.1,2.07,2.0925,4207597.1,8780928.17628,ARB/USD,ARBUSDT,1h,binance
2024-03-03 03:00:00+00:00,2.0925,2.1328,2.0894,2.1255,6038281.5,12773763.96338,ARB/USD,ARBUSDT,1h,binance
2024-03-03 04:00:00+00:00,2.1254,2.1683,2.1205,2.163,5645017.4,12102007.27244,ARB/USD,ARBUSDT,1h,binance
2024-03-03 05:00:00+00:00,2.1631,2.196,2.1337,2.1376,8824212.3,19131362.63975,ARB/USD,ARBUSDT,1h,binance
2024-03-03 06:00:00+00:00,2.1379,2.1447,2.1053,2.1123,7882430.2,16735348.21738,ARB/USD,ARBUSDT,1h,binance
2024-03-03 07:00:00+00:00,2.1122,2.1259,1.861,2.0367,24512951.6,49885089.21318,ARB/USD,ARBUSDT,1h,binance
2024-03-03 08:00:00+00:00,2.0366,2.0619,2.011,2.0599,10703037.4,21809794.36166,ARB/USD,ARBUSDT,1h,binance
2024-03-03 09:00:00+00:00,2.0597,2.0817,2.053,2.059,5418709.6,11206967.3451,ARB/USD,ARBUSDT,1h,binance
2024-03-03 10:00:00+00:00,2.059,2.063,2.0416,2.0467,3724339.4,7639831.39874,ARB/USD,ARBUSDT,1h,binance
2024-03-03 11:00:00+00:00,2.0467,2.09,2.0406,2.0835,4654989.9,9625098.7007,ARB/USD,ARBUSDT,1h,binance
2024-03-03 12:00:00+00:00,2.0835,2.11,2.0616,2.0625,6132689.7,12823326.58539,ARB/USD,ARBUSDT,1h,binance
2024-03-03 13:00:00+00:00,2.0628,2.0774,2.0398,2.0605,4290884.9,8840233.50133,ARB/USD,ARBUSDT,1h,binance
2024-03-03 14:00:00+00:00,2.0605,2.079,2.0515,2.0683,4434930.5,9166328.50309,ARB/USD,ARBUSDT,1h,binance
2024-03-03 15:00:00+00:00,2.0685,2.0864,2.0642,2.0642,3372025.1,7001810.0841,ARB/USD,ARBUSDT,1h,binance
2024-03-03 16:00:00+00:00,2.0644,2.0956,2.0487,2.0942,4320649.6,8947436.38048,ARB/USD,ARBUSDT,1h,binance
2024-03-03 17:00:00+00:00,2.0943,2.0957,2.0669,2.0719,3070733.0,6384854.16654,ARB/USD,ARBUSDT,1h,binance
2024-03-03 18:00:00+00:00,2.0718,2.0831,2.0679,2.0693,1920080.4,3985392.97852,ARB/USD,ARBUSDT,1h,binance
2024-03-03 19:00:00+00:00,2.0693,2.0805,2.0688,2.0705,1958555.2,4061085.09781,ARB/USD,ARBUSDT,1h,binance
2024-03-03 20:00:00+00:00,2.0704,2.0746,2.0527,2.0582,2252015.4,4644342.01636,ARB/USD,ARBUSDT,1h,binance
2024-03-03 21:00:00+00:00,2.0583,2.0646,2.053,2.0583,1528203.0,3145442.7827,ARB/USD,ARBUSDT,1h,binance
2024-03-03 22:00:00+00:00,2.0583,2.0752,2.0526,2.0628,1769364.6,3654662.48279,ARB/USD,ARBUSDT,1h,binance
2024-03-03 23:00:00+00:00,2.063,2.064,2.03,2.0439,2726127.9,5580323.16386,ARB/USD,ARBUSDT,1h,binance
2024-03-04 00:00:00+00:00,2.044,2.08,2.0,2.0298,9059911.1,18482680.45668,ARB/USD,ARBUSDT,1h,binance
2024-03-04 01:00:00+00:00,2.0299,2.0353,2.0,2.0004,4746743.5,9580095.58484,ARB/USD,ARBUSDT,1h,binance
2024-03-04 02:00:00+00:00,2.0003,2.008,1.9842,1.9995,4146832.7,8280096.4405,ARB/USD,ARBUSDT,1h,binance
2024-03-04 03:00:00+00:00,1.9994,1.9996,1.9821,1.9905,2690410.0,5356550.62581,ARB/USD,ARBUSDT,1h,binance
2024-03-04 04:00:00+00:00,1.9904,2.003,1.9759,2.0025,3111364.9,6191842.12016,ARB/USD,ARBUSDT,1h,binance
2024-03-04 05:00:00+00:00,2.0025,2.0049,1.9899,1.9956,2872629.1,5737444.49916,ARB/USD,ARBUSDT,1h,binance
2024-03-04 06:00:00+00:00,1.9957,2.0048,1.9917,2.0028,2612599.4,5221309.65729,ARB/USD,ARBUSDT,1h,binance
2024-03-04 07:00:00+00:00,2.0029,2.0303,1.997,2.0247,4786741.4,9629372.15817,ARB/USD,ARBUSDT,1h,binance
2024-03-04 08:00:00+00:00,2.0248,2.0437,2.0124,2.0267,6342788.5,12887165.8708,ARB/USD,ARBUSDT,1h,binance
2024-03-04 09:00:00+00:00,2.0267,2.0282,2.0041,2.0249,4280075.2,8635370.71482,ARB/USD,ARBUSDT,1h,binance
2024-03-04 10:00:00+00:00,2.025,2.0351,2.0006,2.0093,4636550.9,9362012.5586,ARB/USD,ARBUSDT,1h,binance
2024-03-04 11:00:00+00:00,2.0096,2.0154,1.9984,2.0089,2465476.3,4944889.85366,ARB/USD,ARBUSDT,1h,binance
2024-03-04 12:00:00+00:00,2.0089,2.0153,1.9942,2.0116,3847174.8,7716286.36965,ARB/USD,ARBUSDT,1h,binance
2024-03-04 13:00:00+00:00,2.0117,2.0136,1.9712,1.9796,6105313.2,12165409.05208,ARB/USD,ARBUSDT,1h,binance
2024-03-04 14:00:00+00:00,1.9796,2.0031,1.9661,1.9949,8223152.8,16351875.91248,ARB/USD,ARBUSDT,1h,binance
2024-03-04 15:00:00+00:00,1.9949,2.0146,1.9918,2.0087,3484766.7,6996082.24162,ARB/USD,ARBUSDT,1h,binance
2024-03-04 16:00:00+00:00,2.0086,2.0115,1.9703,1.9709,5558307.3,11077505.44092,ARB/USD,ARBUSDT,1h,binance
2024-03-04 17:00:00+00:00,1.9709,1.9788,1.9282,1.9282,8935947.3,17478112.88694,ARB/USD,ARBUSDT,1h,binance
2024-03-04 18:00:00+00:00,1.9282,1.9865,1.92,1.986,6644949.6,12933013.50905,ARB/USD,ARBUSDT,1h,binance
2024-03-04 19:00:00+00:00,1.9859,1.9916,1.9666,1.9793,4395596.5,8687712.01451,ARB/USD,ARBUSDT,1h,binance
2024-03-04 20:00:00+00:00,1.9795,1.9847,1.966,1.9726,1979575.5,3909432.51924,ARB/USD,ARBUSDT,1h,binance
2024-03-04 21:00:00+00:00,1.9725,1.9823,1.9611,1.9815,1631894.1,3218475.72706,ARB/USD,ARBUSDT,1h,binance
2024-03-04 22:00:00+00:00,1.9815,1.9895,1.9701,1.9886,1421483.1,2811866.03773,ARB/USD,ARBUSDT,1h,binance
2024-03-04 23:00:00+00:00,1.9885,1.9923,1.9706,1.9823,2438574.2,4832316.51866,ARB/USD,ARBUSDT,1h,binance
2024-03-05 00:00:00+00:00,1.9824,1.9998,1.9628,1.9834,4530870.6,8978830.88253,ARB/USD,ARBUSDT,1h,binance
2024-03-05 01:00:00+00:00,1.9835,1.9844,1.9617,1.9687,5152198.0,10149235.97155,ARB/USD,ARBUSDT,1h,binance
2024-03-05 02:00:00+00:00,1.9687,1.9699,1.9234,1.9414,6143168.3,11922462.67313,ARB/USD,ARBUSDT,1h,binance
2024-03-05 03:00:00+00:00,1.9415,2.0022,1.9334,2.0021,3973631.2,7797933.59116,ARB/USD,ARBUSDT,1h,binance
