timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-07-01 00:00:00+00:00,14.55,14.55,14.33,14.36,15450.11,222813.0815,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 01:00:00+00:00,14.36,14.74,14.33,14.67,23325.85,339891.4912,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 02:00:00+00:00,14.67,14.71,14.53,14.58,23470.46,343404.4363,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 03:00:00+00:00,14.58,14.67,14.51,14.57,11839.12,172588.9082,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 04:00:00+00:00,14.57,14.72,14.52,14.69,14834.33,216803.7826,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 05:00:00+00:00,14.69,14.75,14.46,14.55,13307.53,194024.8098,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 06:00:00+00:00,14.55,14.65,14.4,14.64,23443.94,339568.9904,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 07:00:00+00:00,14.63,15.04,14.63,14.84,61594.14,913548.526,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 08:00:00+00:00,14.85,14.88,14.59,14.63,37993.08,559709.3576,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 09:00:00+00:00,14.63,14.73,14.54,14.73,17960.78,262896.62,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 10:00:00+00:00,14.73,14.73,14.52,14.62,19587.53,286435.4855,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 11:00:00+00:00,14.61,14.63,14.37,14.44,12972.7,187906.6451,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 12:00:00+00:00,14.44,14.63,14.42,14.57,17820.21,259024.6275,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 13:00:00+00:00,14.57,14.67,14.47,14.54,24159.03,351693.3703,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 14:00:00+00:00,14.54,14.63,14.42,14.53,16903.98,245803.1377,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 15:00:00+00:00,14.53,14.73,14.53,14.72,14319.74,209899.1733,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 16:00:00+00:00,14.7,14.88,14.69,14.84,18782.94,277908.2968,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 17:00:00+00:00,14.84,15.06,14.77,15.01,26189.06,389320.5712,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 18:00:00+00:00,15.01,15.22,14.81,14.91,30271.06,453757.666,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 19:00:00+00:00,14.91,14.98,14.73,14.82,18463.7,273972.3394,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 20:00:00+00:00,14.82,14.83,14.72,14.8,5637.82,83289.2676,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 21:00:00+00:00,14.8,14.82,14.67,14.71,4804.12,70881.146,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 22:00:00+00:00,14.7,14.73,14.53,14.58,8880.9,129702.7688,OMNI/USD,OMNIUSDT,1h,binance
2024-07-01 23:00:00+00:00,14.58,14.62,14.5,14.54,6654.52,96781.0575,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 00:00:00+00:00,14.53,14.62,14.42,14.58,8584.86,124528.5597,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 01:00:00+00:00,14.59,14.61,14.47,14.56,5562.37,80932.1637,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 02:00:00+00:00,14.56,14.62,14.46,14.54,13087.27,190461.9812,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 03:00:00+00:00,14.54,14.64,14.44,14.49,5621.02,81636.9191,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 04:00:00+00:00,14.5,14.52,14.44,14.45,8570.55,124083.5728,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 05:00:00+00:00,14.46,14.67,14.46,14.64,11885.17,173198.745,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 06:00:00+00:00,14.64,14.64,14.35,14.36,18332.65,265657.1164,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 07:00:00+00:00,14.36,14.36,13.99,14.31,46479.03,659343.4094,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 08:00:00+00:00,14.3,14.32,14.18,14.24,24431.45,347909.7506,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 09:00:00+00:00,14.23,14.35,14.21,14.24,11653.17,166476.2557,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 10:00:00+00:00,14.23,14.25,13.98,14.1,29193.12,410687.8118,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 11:00:00+00:00,14.09,14.17,14.07,14.11,16949.76,239345.5795,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 12:00:00+00:00,14.11,14.26,14.06,14.13,10286.15,145400.4273,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 13:00:00+00:00,14.13,14.61,14.1,14.53,67652.63,972295.3503,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 14:00:00+00:00,14.54,15.14,14.48,14.67,160416.77,2373535.4432,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 15:00:00+00:00,14.66,15.83,14.6,15.57,144255.2,2209550.3988,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 16:00:00+00:00,15.56,15.57,14.66,15.07,104112.65,1569820.6164,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 17:00:00+00:00,15.07,15.25,14.99,15.18,15563.82,235576.3097,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 18:00:00+00:00,15.19,15.52,15.18,15.41,20584.21,316963.77,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 19:00:00+00:00,15.41,15.77,15.29,15.73,30691.91,476673.571,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 20:00:00+00:00,15.74,15.83,15.55,15.7,31510.5,494796.0468,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 21:00:00+00:00,15.69,16.01,15.63,15.87,37153.97,589067.6974,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 22:00:00+00:00,15.87,16.0,15.81,15.97,17931.63,285376.204,OMNI/USD,OMNIUSDT,1h,binance
2024-07-02 23:00:00+00:00,15.95,16.45,15.95,16.37,59982.45,975347.7795,OMNI/USD,OMNIUSDT,1h,binance
2024-07-03 00:00:00+00:00,16.38,16.5,16.09,16.17,40813.88,666924.8335,OMNI/USD,OMNIUSDT,1h,binance
