timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-10-01 00:00:00+00:00,7.67,7.84,7.61,7.82,278664.22,2147749.8185,APT/USD,APTUSDT,1h,binance
2024-10-01 01:00:00+00:00,7.82,7.89,7.79,7.84,153050.16,1198673.064,APT/USD,APTUSDT,1h,binance
2024-10-01 02:00:00+00:00,7.84,7.89,7.75,7.88,147567.46,1151285.1861,APT/USD,APTUSDT,1h,binance
2024-10-01 03:00:00+00:00,7.88,7.99,7.85,7.95,161759.4,1285872.8928,APT/USD,APTUSDT,1h,binance
2024-10-01 04:00:00+00:00,7.96,8.16,7.94,8.11,398829.38,3220004.3479,APT/USD,APTUSDT,1h,binance
2024-10-01 05:00:00+00:00,8.11,8.19,8.06,8.11,194202.3,1578651.8297,APT/USD,APTUSDT,1h,binance
2024-10-01 06:00:00+00:00,8.12,8.26,8.11,8.23,237775.86,1949414.8213,APT/USD,APTUSDT,1h,binance
2024-10-01 07:00:00+00:00,8.24,8.3,8.18,8.19,313412.44,2587667.359,APT/USD,APTUSDT,1h,binance
2024-10-01 08:00:00+00:00,8.2,8.25,8.16,8.19,203377.94,1667884.6495,APT/USD,APTUSDT,1h,binance
2024-10-01 09:00:00+00:00,8.19,8.27,8.18,8.22,112443.45,924420.2408,APT/USD,APTUSDT,1h,binance
2024-10-01 10:00:00+00:00,8.23,8.33,8.19,8.33,189510.58,1564528.1101,APT/USD,APTUSDT,1h,binance
2024-10-01 11:00:00+00:00,8.32,8.38,8.25,8.26,192960.86,1606163.7756,APT/USD,APTUSDT,1h,binance
2024-10-01 12:00:00+00:00,8.26,8.32,8.21,8.24,154934.66,1282405.1752,APT/USD,APTUSDT,1h,binance
2024-10-01 13:00:00+00:00,8.23,8.26,7.92,8.06,923680.01,7450614.9695,APT/USD,APTUSDT,1h,binance
2024-10-01 14:00:00+00:00,8.06,8.15,7.77,7.83,678303.94,5397796.4846,APT/USD,APTUSDT,1h,binance
2024-10-01 15:00:00+00:00,7.82,8.05,7.55,7.99,1190764.0,9325427.4785,APT/USD,APTUSDT,1h,binance
2024-10-01 16:00:00+00:00,7.98,8.07,7.69,7.85,855006.05,6721893.1194,APT/USD,APTUSDT,1h,binance
2024-10-01 17:00:00+00:00,7.85,7.85,7.23,7.76,2029354.94,15278720.0024,APT/USD,APTUSDT,1h,binance
2024-10-01 18:00:00+00:00,7.76,7.86,7.66,7.7,587374.86,4559366.9305,APT/USD,APTUSDT,1h,binance
2024-10-01 19:00:00+00:00,7.7,7.72,7.57,7.59,395205.89,3025912.5074,APT/USD,APTUSDT,1h,binance
2024-10-01 20:00:00+00:00,7.59,7.7,7.41,7.65,596357.33,4512538.2427,APT/USD,APTUSDT,1h,binance
2024-10-01 21:00:00+00:00,7.66,7.73,7.55,7.72,227684.06,1740199.5372,APT/USD,APTUSDT,1h,binance
2024-10-01 22:00:00+00:00,7.71,7.71,7.49,7.55,183112.43,1386469.5134,APT/USD,APTUSDT,1h,binance
2024-10-01 23:00:00+00:00,7.55,7.62,7.52,7.55,137375.47,1040208.1813,APT/USD,APTUSDT,1h,binance
2024-10-02 00:00:00+00:00,7.55,7.63,7.47,7.55,244377.01,1847407.2058,APT/USD,APTUSDT,1h,binance
2024-10-02 01:00:00+00:00,7.55,7.7,7.53,7.67,183503.23,1398817.0183,APT/USD,APTUSDT,1h,binance
2024-10-02 02:00:00+00:00,7.66,7.71,7.62,7.64,152794.31,1170458.925,APT/USD,APTUSDT,1h,binance
2024-10-02 03:00:00+00:00,7.64,7.66,7.57,7.62,90178.26,686246.921,APT/USD,APTUSDT,1h,binance
2024-10-02 04:00:00+00:00,7.62,7.69,7.53,7.69,190352.37,1448359.1472,APT/USD,APTUSDT,1h,binance
