timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2024-10-01 00:00:00+00:00,3.811,3.867,3.806,3.861,362985.39,1391326.68408,FIL/USD,FILUSDT,1h,binance
2024-10-01 01:00:00+00:00,3.861,3.882,3.855,3.865,219620.25,850238.76402,FIL/USD,FILUSDT,1h,binance
2024-10-01 02:00:00+00:00,3.865,3.873,3.827,3.872,216060.86,832175.46873,FIL/USD,FILUSDT,1h,binance
2024-10-01 03:00:00+00:00,3.873,3.915,3.869,3.913,120179.4,468162.73262,FIL/USD,FILUSDT,1h,binance
2024-10-01 04:00:00+00:00,3.913,3.925,3.897,3.911,182910.25,715368.4618,FIL/USD,FILUSDT,1h,binance
2024-10-01 05:00:00+00:00,3.911,3.911,3.891,3.895,79059.2,308198.90648,FIL/USD,FILUSDT,1h,binance
2024-10-01 06:00:00+00:00,3.895,3.926,3.894,3.921,108168.38,423073.79545,FIL/USD,FILUSDT,1h,binance
2024-10-01 07:00:00+00:00,3.922,3.935,3.911,3.918,167016.41,654835.62494,FIL/USD,FILUSDT,1h,binance
2024-10-01 08:00:00+00:00,3.918,3.926,3.897,3.907,88090.51,344346.44355,FIL/USD,FILUSDT,1h,binance
2024-10-01 09:00:00+00:00,3.906,3.925,3.904,3.916,79329.75,310757.11433,FIL/USD,FILUSDT,1h,binance
2024-10-01 10:00:00+00:00,3.914,3.942,3.911,3.939,151450.68,594661.7186,FIL/USD,FILUSDT,1h,binance
2024-10-01 11:00:00+00:00,3.938,3.942,3.917,3.921,64179.33,252144.27134,FIL/USD,FILUSDT,1h,binance
2024-10-01 12:00:00+00:00,3.92,3.93,3.896,3.91,92285.71,361399.27782,FIL/USD,FILUSDT,1h,binance
2024-10-01 13:00:00+00:00,3.911,3.913,3.789,3.835,590496.3,2265679.90919,FIL/USD,FILUSDT,1h,binance
2024-10-01 14:00:00+00:00,3.835,3.862,3.723,3.748,915187.98,3472459.10139,FIL/USD,FILUSDT,1h,binance
2024-10-01 15:00:00+00:00,3.749,3.759,3.602,3.714,1626764.75,5982381.87852,FIL/USD,FILUSDT,1h,binance
2024-10-01 16:00:00+00:00,3.714,3.722,3.622,3.672,644417.41,2368620.53653,FIL/USD,FILUSDT,1h,binance
2024-10-01 17:00:00+00:00,3.671,3.671,3.441,3.604,1950387.57,6905499.35763,FIL/USD,FILUSDT,1h,binance
2024-10-01 18:00:00+00:00,3.601,3.619,3.56,3.576,410402.75,1475987.06354,FIL/USD,FILUSDT,1h,binance
2024-10-01 19:00:00+00:00,3.576,3.598,3.552,3.562,161884.54,578239.18609,FIL/USD,FILUSDT,1h,binance
2024-10-01 20:00:00+00:00,3.561,3.579,3.498,3.565,455333.14,1613147.41246,FIL/USD,FILUSDT,1h,binance
2024-10-01 21:00:00+00:00,3.564,3.594,3.531,3.584,191874.76,683677.66677,FIL/USD,FILUSDT,1h,binance
2024-10-01 22:00:00+00:00,3.583,3.584,3.53,3.541,207836.76,738536.92032,FIL/USD,FILUSDT,1h,binance
2024-10-01 23:00:00+00:00,3.541,3.559,3.529,3.556,197731.55,701447.96924,FIL/USD,FILUSDT,1h,binance
2024-10-02 00:00:00+00:00,3.556,3.581,3.531,3.557,302203.68,1075150.05446,FIL/USD,FILUSDT,1h,binance
2024-10-02 01:00:00+00:00,3.557,3.607,3.552,3.605,217388.72,780304.45937,FIL/USD,FILUSDT,1h,binance
2024-10-02 02:00:00+00:00,3.604,3.64,3.593,3.633,269595.31,975224.43973,FIL/USD,FILUSDT,1h,binance
2024-10-02 03:00:00+00:00,3.633,3.658,3.625,3.646,133065.59,484617.06703,FIL/USD,FILUSDT,1h,binance
2024-10-02 04:00:00+00:00,3.646,3.647,3.625,3.636,118922.55,432281.02019,FIL/USD,FILUSDT,1h,binance
2024-10-02 05:00:00+00:00,3.635,3.653,3.631,3.649,161934.66,589686.77619,FIL/USD,FILUSDT,1h,binance
2024-10-02 06:00:00+00:00,3.648,3.686,3.634,3.678,304721.76,1114485.80235,FIL/USD,FILUSDT,1h,binance
2024-10-02 07:00:00+00:00,3.678,3.685,3.655,3.663,184821.17,678209.11278,FIL/USD,FILUSDT,1h,binance
2024-10-02 08:00:00+00:00,3.662,3.668,3.646,3.652,195933.9,716183.53315,FIL/USD,FILUSDT,1h,binance
2024-10-02 09:00:00+00:00,3.653,3.656,3.581,3.586,282224.32,1019343.10884,FIL/USD,FILUSDT,1h,binance
2024-10-02 10:00:00+00:00,3.585,3.63,3.566,3.568,306108.21,1100832.43487,FIL/USD,FILUSDT,1h,binance
2024-10-02 11:00:00+00:00,3.569,3.605,3.543,3.583,326589.37,1169366.45928,FIL/USD,FILUSDT,1h,binance
2024-10-02 12:00:00+00:00,3.584,3.599,3.549,3.562,298938.32,1068881.43288,FIL/USD,FILUSDT,1h,binance
2024-10-02 13:00:00+00:00,3.562,3.621,3.543,3.609,557869.17,1993534.39201,FIL/USD,FILUSDT,1h,binance
2024-10-02 14:00:00+00:00,3.609,3.626,3.572,3.572,387753.94,1394335.89206,FIL/USD,FILUSDT,1h,binance
2024-10-02 15:00:00+00:00,3.572,3.629,3.568,3.618,290631.16,1047894.20413,FIL/USD,FILUSDT,1h,binance
2024-10-02 16:00:00+00:00,3.618,3.652,3.598,3.601,247595.62,897356.5423,FIL/USD,FILUSDT,1h,binance
2024-10-02 17:00:00+00:00,3.601,3.618,3.573,3.593,258951.06,932405.83932,FIL/USD,FILUSDT,1h,binance
2024-10-02 18:00:00+00:00,3.593,3.596,3.481,3.484,410455.01,1447435.37088,FIL/USD,FILUSDT,1h,binance
2024-10-02 19:00:00+00:00,3.483,3.53,3.445,3.512,448158.12,1563684.50351,FIL/USD,FILUSDT,1h,binance
2024-10-02 20:00:00+00:00,3.513,3.566,3.493,3.546,227415.77,802107.26436,FIL/USD,FILUSDT,1h,binance
2024-10-02 21:00:00+00:00,3.549,3.56,3.518,3.539,103137.13,364504.08168,FIL/USD,FILUSDT,1h,binance
2024-10-02 22:00:00+00:00,3.538,3.56,3.499,3.56,122888.84,433708.27029,FIL/USD,FILUSDT,1h,binance
2024-10-02 23:00:00+00:00,3.56,3.561,3.536,3.538,109353.08,388066.2609,FIL/USD,FILUSDT,1h,binance
2024-10-03 00:00:00+00:00,3.537,3.574,3.515,3.562,181302.21,643278.31844,FIL/USD,FILUSDT,1h,binance
2024-10-03 01:00:00+00:00,3.56,3.601,3.559,3.596,210644.28,754781.65829,FIL/USD,FILUSDT,1h,binance
2024-10-03 02:00:00+00:00,3.596,3.611,3.583,3.6,132368.38,476194.79089,FIL/USD,FILUSDT,1h,binance
2024-10-03 03:00:00+00:00,3.601,3.648,3.596,3.643,316348.1,1149125.79025,FIL/USD,FILUSDT,1h,binance
2024-10-03 04:00:00+00:00,3.643,3.656,3.621,3.63,110963.39,403588.21377,FIL/USD,FILUSDT,1h,binance
2024-10-03 05:00:00+00:00,3.631,3.639,3.608,3.628,166928.96,604798.259,FIL/USD,FILUSDT,1h,binance
2024-10-03 06:00:00+00:00,3.628,3.639,3.613,3.62,187079.38,678033.96686,FIL/USD,FILUSDT,1h,binance
2024-10-03 07:00:00+00:00,3.621,3.624,3.559,3.573,324154.74,1162757.18466,FIL/USD,FILUSDT,1h,binance
2024-10-03 08:00:00+00:00,3.573,3.581,3.485,3.504,431918.36,1519107.75984,FIL/USD,FILUSDT,1h,binance
2024-10-03 09:00:00+00:00,3.504,3.535,3.452,3.533,413181.65,1447050.91548,FIL/USD,FILUSDT,1h,binance
2024-10-03 10:00:00+00:00,3.533,3.54,3.508,3.533,313434.48,1105421.30376,FIL/USD,FILUSDT,1h,binance
2024-10-03 11:00:00+00:00,3.534,3.542,3.484,3.485,329000.75,1155351.97536,FIL/USD,FILUSDT,1h,binance
2024-10-03 12:00:00+00:00,3.485,3.509,3.456,3.495,233846.0,815198.80487,FIL/USD,FILUSDT,1h,binance
2024-10-03 13:00:00+00:00,3.497,3.6,3.467,3.517,609752.95,2140443.09689,FIL/USD,FILUSDT,1h,binance
2024-10-03 14:00:00+00:00,3.518,3.564,3.491,3.495,353524.87,1246960.57603,FIL/USD,FILUSDT,1h,binance
2024-10-03 15:00:00+00:00,3.493,3.522,3.423,3.518,610556.76,2114879.1586,FIL/USD,FILUSDT,1h,binance
2024-10-03 16:00:00+00:00,3.518,3.528,3.476,3.51,389006.5,1363980.33229,FIL/USD,FILUSDT,1h,binance
2024-10-03 17:00:00+00:00,3.507,3.549,3.485,3.533,147229.17,518721.63935,FIL/USD,FILUSDT,1h,binance
2024-10-03 18:00:00+00:00,3.535,3.549,3.52,3.529,225188.92,796607.5459,FIL/USD,FILUSDT,1h,binance
2024-10-03 19:00:00+00:00,3.529,3.575,3.527,3.567,108537.06,385639.27431,FIL/USD,FILUSDT,1h,binance
2024-10-03 20:00:00+00:00,3.566,3.576,3.532,3.535,103489.7,367170.77103,FIL/USD,FILUSDT,1h,binance
2024-10-03 21:00:00+00:00,3.538,3.568,3.519,3.562,113398.28,402447.34719,FIL/USD,FILUSDT,1h,binance
2024-10-03 22:00:00+00:00,3.561,3.584,3.55,3.571,107624.97,383681.36111,FIL/USD,FILUSDT,1h,binance
2024-10-03 23:00:00+00:00,3.573,3.589,3.556,3.573,123515.13,440932.75909,FIL/USD,FILUSDT,1h,binance
2024-10-04 00:00:00+00:00,3.572,3.581,3.548,3.55,166536.82,593841.32893,FIL/USD,FILUSDT,1h,binance
2024-10-04 01:00:00+00:00,3.55,3.613,3.547,3.605,226503.19,813897.90186,FIL/USD,FILUSDT,1h,binance
2024-10-04 02:00:00+00:00,3.607,3.614,3.588,3.588,75495.97,271874.36148,FIL/USD,FILUSDT,1h,binance
2024-10-04 03:00:00+00:00,3.589,3.592,3.567,3.587,82420.73,294815.37244,FIL/USD,FILUSDT,1h,binance
2024-10-04 04:00:00+00:00,3.588,3.616,3.581,3.589,91386.65,328765.01375,FIL/USD,FILUSDT,1h,binance
2024-10-04 05:00:00+00:00,3.589,3.615,3.585,3.613,88184.91,317803.45503,FIL/USD,FILUSDT,1h,binance
2024-10-04 06:00:00+00:00,3.612,3.623,3.589,3.59,91505.61,330175.10165,FIL/USD,FILUSDT,1h,binance
2024-10-04 07:00:00+00:00,3.589,3.607,3.579,3.6,154840.91,556525.79618,FIL/USD,FILUSDT,1h,binance
2024-10-04 08:00:00+00:00,3.599,3.636,3.597,3.603,143840.71,520259.80808,FIL/USD,FILUSDT,1h,binance
2024-10-04 09:00:00+00:00,3.604,3.627,3.599,3.605,103996.63,375541.85141,FIL/USD,FILUSDT,1h,binance
2024-10-04 10:00:00+00:00,3.607,3.617,3.589,3.591,101901.97,367586.75746,FIL/USD,FILUSDT,1h,binance
2024-10-04 11:00:00+00:00,3.591,3.619,3.588,3.613,181937.79,655334.55805,FIL/USD,FILUSDT,1h,binance
2024-10-04 12:00:00+00:00,3.613,3.64,3.586,3.637,236875.34,856881.60813,FIL/USD,FILUSDT,1h,binance
2024-10-04 13:00:00+00:00,3.637,3.644,3.595,3.603,242756.23,878284.5754,FIL/USD,FILUSDT,1h,binance
2024-10-04 14:00:00+00:00,3.607,3.61,3.568,3.601,228082.84,818799.39629,FIL/USD,FILUSDT,1h,binance
2024-10-04 15:00:00+00:00,3.602,3.642,3.601,3.64,187030.73,677508.37978,FIL/USD,FILUSDT,1h,binance
2024-10-04 16:00:00+00:00,3.641,3.656,3.621,3.641,213089.01,776136.86742,FIL/USD,FILUSDT,1h,binance
2024-10-04 17:00:00+00:00,3.64,3.65,3.618,3.63,111668.61,405804.40244,FIL/USD,FILUSDT,1h,binance
2024-10-04 18:00:00+00:00,3.631,3.653,3.623,3.651,61474.52,223719.27922,FIL/USD,FILUSDT,1h,binance
2024-10-04 19:00:00+00:00,3.652,3.654,3.637,3.644,88004.85,320938.44053,FIL/USD,FILUSDT,1h,binance
2024-10-04 20:00:00+00:00,3.644,3.652,3.632,3.65,56700.16,206587.42579,FIL/USD,FILUSDT,1h,binance
2024-10-04 21:00:00+00:00,3.649,3.651,3.633,3.637,62190.96,226450.1672,FIL/USD,FILUSDT,1h,binance
2024-10-04 22:00:00+00:00,3.638,3.64,3.624,3.632,111125.43,403849.00402,FIL/USD,FILUSDT,1h,binance
2024-10-04 23:00:00+00:00,3.633,3.65,3.624,3.647,71527.81,260231.30504,FIL/USD,FILUSDT,1h,binance
2024-10-05 00:00:00+00:00,3.647,3.675,3.646,3.674,104412.85,381753.22943,FIL/USD,FILUSDT,1h,binance
2024-10-05 01:00:00+00:00,3.674,3.679,3.646,3.654,129069.62,472666.41398,FIL/USD,FILUSDT,1h,binance
2024-10-05 02:00:00+00:00,3.654,3.657,3.62,3.622,107102.23,389904.76462,FIL/USD,FILUSDT,1h,binance
2024-10-05 03:00:00+00:00,3.622,3.638,3.608,3.623,73034.73,264891.68508,FIL/USD,FILUSDT,1h,binance
2024-10-05 04:00:00+00:00,3.623,3.645,3.613,3.638,105234.86,381523.48216,FIL/USD,FILUSDT,1h,binance
2024-10-05 05:00:00+00:00,3.639,3.666,3.639,3.659,43308.95,158331.27429,FIL/USD,FILUSDT,1h,binance
2024-10-05 06:00:00+00:00,3.659,3.664,3.645,3.663,87022.3,318210.75084,FIL/USD,FILUSDT,1h,binance
2024-10-05 07:00:00+00:00,3.663,3.666,3.641,3.642,171764.21,627034.93914,FIL/USD,FILUSDT,1h,binance
2024-10-05 08:00:00+00:00,3.642,3.662,3.641,3.651,104433.5,381304.29816,FIL/USD,FILUSDT,1h,binance
2024-10-05 09:00:00+00:00,3.652,3.67,3.648,3.667,140709.03,514928.64007,FIL/USD,FILUSDT,1h,binance
2024-10-05 10:00:00+00:00,3.668,3.674,3.65,3.656,147284.42,539963.72209,FIL/USD,FILUSDT,1h,binance
2024-10-05 11:00:00+00:00,3.655,3.668,3.65,3.658,77183.79,282505.44329,FIL/USD,FILUSDT,1h,binance
2024-10-05 12:00:00+00:00,3.658,3.67,3.658,3.67,75975.32,278458.92254,FIL/USD,FILUSDT,1h,binance
2024-10-05 13:00:00+00:00,3.67,3.673,3.64,3.644,123190.79,450340.62023,FIL/USD,FILUSDT,1h,binance
2024-10-05 14:00:00+00:00,3.644,3.656,3.636,3.648,171595.05,625431.51652,FIL/USD,FILUSDT,1h,binance
2024-10-05 15:00:00+00:00,3.647,3.66,3.633,3.66,132693.21,483617.71516,FIL/USD,FILUSDT,1h,binance
2024-10-05 16:00:00+00:00,3.659,3.665,3.6,3.614,695651.11,2527980.4493,FIL/USD,FILUSDT,1h,binance
2024-10-05 17:00:00+00:00,3.613,3.629,3.608,3.623,151410.09,547901.03466,FIL/USD,FILUSDT,1h,binance
2024-10-05 18:00:00+00:00,3.624,3.627,3.596,3.603,108246.27,390871.287,FIL/USD,FILUSDT,1h,binance
2024-10-05 19:00:00+00:00,3.603,3.606,3.587,3.594,122324.14,439780.44198,FIL/USD,FILUSDT,1h,binance
2024-10-05 20:00:00+00:00,3.594,3.595,3.565,3.569,165224.59,591070.13166,FIL/USD,FILUSDT,1h,binance
2024-10-05 21:00:00+00:00,3.569,3.597,3.555,3.577,131842.68,471696.72968,FIL/USD,FILUSDT,1h,binance
2024-10-05 22:00:00+00:00,3.576,3.623,3.576,3.623,109845.73,395950.65222,FIL/USD,FILUSDT,1h,binance
2024-10-05 23:00:00+00:00,3.622,3.623,3.605,3.615,80823.12,292219.57306,FIL/USD,FILUSDT,1h,binance
2024-10-06 00:00:00+00:00,3.615,3.62,3.605,3.61,63395.12,228975.0933,FIL/USD,FILUSDT,1h,binance
