timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2025-11-01 00:00:00+00:00,3.062,3.074,3.047,3.073,29924.4,91507.3357,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 01:00:00+00:00,3.072,3.091,3.066,3.071,16267.4,50052.4417,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 02:00:00+00:00,3.07,3.095,3.056,3.094,10551.8,32481.1032,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 03:00:00+00:00,3.093,3.118,3.091,3.116,21009.8,65241.1515,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 04:00:00+00:00,3.117,3.118,3.09,3.101,26793.3,83099.7843,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 05:00:00+00:00,3.101,3.117,3.085,3.106,33311.2,103515.6826,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 06:00:00+00:00,3.106,3.115,3.098,3.113,12148.3,37715.9837,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 07:00:00+00:00,3.114,3.138,3.111,3.138,19170.9,59912.8916,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 08:00:00+00:00,3.139,3.181,3.133,3.18,74346.2,234766.0273,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 09:00:00+00:00,3.179,3.184,3.147,3.151,67009.5,212425.6502,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 10:00:00+00:00,3.151,3.169,3.15,3.155,28524.8,90116.8266,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 11:00:00+00:00,3.156,3.171,3.142,3.156,17930.9,56655.4554,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 12:00:00+00:00,3.157,3.161,3.142,3.147,28375.5,89415.4728,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 13:00:00+00:00,3.147,3.151,3.111,3.132,39303.3,122985.5888,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 14:00:00+00:00,3.132,3.137,3.1,3.113,34091.3,106127.2376,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 15:00:00+00:00,3.113,3.141,3.109,3.133,39976.8,124972.5185,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 16:00:00+00:00,3.134,3.148,3.124,3.133,47432.5,148843.19,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 17:00:00+00:00,3.132,3.135,3.108,3.113,27295.3,85125.5666,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 18:00:00+00:00,3.113,3.125,3.11,3.122,16491.2,51402.5899,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 19:00:00+00:00,3.123,3.135,3.12,3.131,12034.8,37655.0166,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 20:00:00+00:00,3.131,3.17,3.13,3.153,19640.8,61934.6692,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 21:00:00+00:00,3.152,3.155,3.11,3.114,23015.5,72148.2778,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 22:00:00+00:00,3.114,3.119,3.095,3.114,16943.9,52634.2629,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-01 23:00:00+00:00,3.114,3.131,3.113,3.128,11338.1,35357.9651,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 00:00:00+00:00,3.128,3.13,3.108,3.109,22855.3,71288.6943,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 01:00:00+00:00,3.109,3.121,3.1,3.104,20624.1,64204.0619,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 02:00:00+00:00,3.103,3.128,3.099,3.109,19981.3,62073.1349,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 03:00:00+00:00,3.109,3.113,3.089,3.094,13264.1,41111.0744,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 04:00:00+00:00,3.094,3.125,3.088,3.124,66089.5,204720.7458,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 05:00:00+00:00,3.124,3.124,3.097,3.116,59699.6,185651.2127,PENDLE/USD,PENDLEUSDT,1h,binance
2025-11-02 06:00:00+00:00,3.116,3.121,3.105,3.118,20884.7,65021.9077,PENDLE/USD,PENDLEUSDT,1h,binance
