timestamp,open,high,low,close,volume,quote_volume,pair,binance_symbol,interval,source
2025-12-01 00:00:00+00:00,0.00973,0.00976,0.00916,0.00917,123593078.0,1168506.90401,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 01:00:00+00:00,0.00916,0.00933,0.00915,0.00924,26781532.0,247959.69634,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 02:00:00+00:00,0.00924,0.00934,0.00918,0.00919,40479115.0,374719.52129,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 03:00:00+00:00,0.00919,0.0092,0.00906,0.00906,35837782.0,327415.78819,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 04:00:00+00:00,0.00906,0.00909,0.009,0.00909,25199291.0,228075.86267,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 05:00:00+00:00,0.00909,0.00917,0.00905,0.0091,16807163.0,153285.10327,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 06:00:00+00:00,0.0091,0.00919,0.00909,0.00915,19275145.0,175918.25964,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 07:00:00+00:00,0.00914,0.0092,0.00909,0.0092,32865915.0,300378.95623,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 08:00:00+00:00,0.00919,0.00922,0.00915,0.00918,24519771.0,225371.8621,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 09:00:00+00:00,0.00917,0.00923,0.00915,0.00916,22034237.0,202568.96823,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 10:00:00+00:00,0.00916,0.00919,0.00912,0.00914,14760480.0,135174.91434,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 11:00:00+00:00,0.00914,0.00914,0.00906,0.00907,16447673.0,149521.85121,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 12:00:00+00:00,0.00908,0.00909,0.00893,0.00909,20599831.0,186085.20986,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 13:00:00+00:00,0.00908,0.00915,0.00897,0.00903,23176568.0,209594.54219,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 14:00:00+00:00,0.00903,0.00918,0.009,0.00912,29437281.0,267197.58476,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 15:00:00+00:00,0.00912,0.00917,0.00889,0.00906,48368539.0,436870.54589,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 16:00:00+00:00,0.00906,0.00906,0.00894,0.00896,25552561.0,229643.91985,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 17:00:00+00:00,0.00895,0.00901,0.0089,0.00895,26119428.0,234111.39497,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 18:00:00+00:00,0.00895,0.00906,0.00895,0.00904,27655101.0,249334.96155,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 19:00:00+00:00,0.00905,0.00905,0.00896,0.00901,16144094.0,145325.1341,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 20:00:00+00:00,0.00901,0.00914,0.00901,0.00909,25649534.0,233179.54055,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 21:00:00+00:00,0.00909,0.00919,0.00907,0.00914,22390405.0,204446.80323,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 22:00:00+00:00,0.00915,0.00922,0.00914,0.00918,8798915.0,80821.81315,LINEA/USD,LINEAUSDT,1h,binance
2025-12-01 23:00:00+00:00,0.00917,0.00921,0.00913,0.00917,6110538.0,56023.76242,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 00:00:00+00:00,0.00917,0.00918,0.0091,0.00912,7118393.0,65050.47802,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 01:00:00+00:00,0.00911,0.00923,0.00907,0.00907,11894713.0,108757.80067,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 02:00:00+00:00,0.00907,0.00911,0.00901,0.00901,18992436.0,172034.98075,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 03:00:00+00:00,0.00902,0.00903,0.00894,0.00897,23767135.0,213581.05333,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 04:00:00+00:00,0.00897,0.009,0.00879,0.00879,36470533.0,324633.34226,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 05:00:00+00:00,0.00879,0.00892,0.00879,0.00881,30198657.0,267215.11568,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 06:00:00+00:00,0.00881,0.0089,0.00872,0.00888,47792429.0,421761.28011,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 07:00:00+00:00,0.00888,0.00889,0.0088,0.00884,29633958.0,262030.4928,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 08:00:00+00:00,0.00885,0.00885,0.00874,0.00878,19957727.0,175357.94065,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 09:00:00+00:00,0.00878,0.00889,0.00878,0.00887,11802112.0,104355.2661,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 10:00:00+00:00,0.00887,0.00901,0.00886,0.00897,19980374.0,178425.83734,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 11:00:00+00:00,0.00897,0.00899,0.00894,0.00898,22630790.0,202825.13248,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 12:00:00+00:00,0.00898,0.00902,0.00895,0.00899,16914160.0,152014.04434,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 13:00:00+00:00,0.009,0.00909,0.00897,0.00906,17228131.0,155772.69162,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 14:00:00+00:00,0.00906,0.00928,0.00904,0.00925,49039626.0,450294.40199,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 15:00:00+00:00,0.00926,0.00972,0.00926,0.00967,77526214.0,736818.75604,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 16:00:00+00:00,0.00967,0.00973,0.00951,0.00958,42633458.0,409256.24207,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 17:00:00+00:00,0.00958,0.00962,0.00951,0.00951,11025796.0,105493.99391,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 18:00:00+00:00,0.00951,0.0096,0.0095,0.00957,14760628.0,141034.51514,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 19:00:00+00:00,0.00958,0.00959,0.00937,0.00938,27280463.0,257665.50015,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 20:00:00+00:00,0.00937,0.00939,0.00919,0.00924,48786302.0,453955.18991,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 21:00:00+00:00,0.00923,0.00928,0.00916,0.00919,25563584.0,235420.37778,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 22:00:00+00:00,0.00918,0.00928,0.00916,0.00925,43784952.0,403122.07698,LINEA/USD,LINEAUSDT,1h,binance
2025-12-02 23:00:00+00:00,0.00925,0.00929,0.00918,0.00927,28829919.0,266365.32582,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 00:00:00+00:00,0.00927,0.00929,0.00919,0.00922,8183465.0,75479.3916,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 01:00:00+00:00,0.00921,0.00922,0.00915,0.00919,14317990.0,131478.05194,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 02:00:00+00:00,0.00918,0.00928,0.00916,0.00925,18184187.0,167666.86563,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 03:00:00+00:00,0.00925,0.00933,0.00924,0.00924,11436823.0,106115.57367,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 04:00:00+00:00,0.00923,0.00934,0.00921,0.00933,17290633.0,160488.77315,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 05:00:00+00:00,0.00933,0.00938,0.0093,0.00935,13008916.0,121526.62697,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 06:00:00+00:00,0.00935,0.00943,0.00925,0.00925,21931178.0,204708.74491,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 07:00:00+00:00,0.00925,0.00929,0.00923,0.00925,15000883.0,138948.72524,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 08:00:00+00:00,0.00925,0.00929,0.00923,0.00926,10703705.0,99009.41945,LINEA/USD,LINEAUSDT,1h,binance
2025-12-03 09:00:00+00:00,0.00926,0.00927,0.00916,0.00924,21212595.0,195302.61662,LINEA/USD,LINEAUSDT,1h,binance
